Date 	Open 	High 	Low 	Close 	Shares Traded 	Turnover (? Cr)
01-01-2021	13996.1	14049.85	13991.35	14018.5	258090905	15873.75
04-01-2021	14104.35	14147.95	13953.75	14132.9	494999295	28705.09
05-01-2021	14075.15	14215.6	14048.15	14199.5	492475349	30872.87
06-01-2021	14240.95	14244.15	14039.9	14146.25	632323316	34615.55
07-01-2021	14253.75	14256.25	14123.1	14137.35	559173512	33446.47
08-01-2021	14258.4	14367.3	14221.65	14347.25	613472067	37615.19
11-01-2021	14474.05	14498.2	14383.1	14484.75	672878543	40186.21
12-01-2021	14473.8	14590.65	14432.85	14563.45	929566952	44976.12
13-01-2021	14639.8	14653.35	14435.7	14564.85	873956688	44682.93
14-01-2021	14550.05	14617.8	14471.5	14595.6	620194977	37534.37
15-01-2021	14594.35	14617.45	14357.85	14433.7	789557216	39912.18
18-01-2021	14453.3	14459.15	14222.8	14281.3	762043554	41716.22
19-01-2021	14371.65	14546.05	14350.85	14521.15	546108304	33084.79
20-01-2021	14538.3	14666.45	14517.55	14644.7	623069963	34639.36
21-01-2021	14730.95	14753.55	14517.25	14590.35	704646957	41939.04
22-01-2021	14583.4	14619.9	14357.75	14371.9	776750347	45322.54
25-01-2021	14477.8	14491.1	14218.6	14238.9	618631493	42278.39
27-01-2021	14237.95	14237.95	13929.3	13967.5	660711117	40579.24
28-01-2021	13810.4	13898.25	13713.25	13817.55	637871621	39881.82
29-01-2021	13946.6	13966.85	13596.75	13634.6	753206122	46918.29
01-02-2021	13758.6	14336.35	13661.75	14281.2	870529495	51840.22
02-02-2021	14481.1	14731.7	14469.15	14647.85	914965225	58177.74
03-02-2021	14754.9	14868.85	14574.15	14789.95	869477087	49312.35
04-02-2021	14789.05	14913.7	14714.75	14895.65	884686415	47811.8
05-02-2021	14952.6	15014.65	14864.75	14924.25	935629058	54394.63
08-02-2021	15064.3	15159.9	15041.05	15115.8	671242694	40483.96
09-02-2021	15164.15	15257.1	15064.3	15109.3	713279133	41930.72
10-02-2021	15119.05	15168.25	14977.2	15106.5	624791133	40707.97
11-02-2021	15073.25	15188.5	15065.4	15173.3	500122414	30933.44
12-02-2021	15186.2	15243.5	15081	15163.3	571808807	32304.24
15-02-2021	15270.3	15340.15	15243.4	15314.7	455959720	28955.29
16-02-2021	15371.45	15431.75	15242.2	15313.45	648545320	36550.03
17-02-2021	15279.9	15314.3	15170.75	15208.9	504767226	34073.12
18-02-2021	15238.7	15250.75	15078.05	15118.95	770629541	37093.99
19-02-2021	15074.8	15144.05	14898.2	14981.75	712213821	37419.34
22-02-2021	14999.05	15010.1	14635.05	14675.7	609898454	37578.07
23-02-2021	14782.25	14854.5	14651.85	14707.8	744092809	39508.09
24-02-2021	14729.15	15008.8	14723.05	14982	403754669	23723.99
25-02-2021	15079.85	15176.5	15065.35	15097.35	803883875	42983.07
26-02-2021	14888.6	14919.45	14467.75	14529.15	1103644519	65012.96
01-03-2021	14702.5	14806.8	14638.55	14761.55	507302977	30030.57
02-03-2021	14865.3	14959.1	14760.8	14919.1	621723916	34647.26
03-03-2021	15064.4	15273.15	14995.8	15245.6	544205583	34567.73
04-03-2021	15026.75	15202.35	14980.2	15080.75	534850447	36036.02
05-03-2021	14977.95	15092.35	14862.1	14938.1	640700362	37811.6
08-03-2021	15002.45	15111.15	14919.9	14956.2	580308065	29518.07
09-03-2021	15049.9	15126.85	14925.45	15098.4	675271251	38365.48
10-03-2021	15202.15	15218.45	15100.85	15174.8	404585756	25603.32
12-03-2021	15321.15	15336.3	14953.6	15030.95	493238854	32195.96
15-03-2021	15048.4	15048.4	14745.85	14929.5	467473367	28118
16-03-2021	14996.1	15051.6	14890.65	14910.45	437651327	27975.07
17-03-2021	14946.55	14956.55	14696.05	14721.3	479352147	27983.5
18-03-2021	14855.5	14875.2	14478.6	14557.85	542216908	31339.71
19-03-2021	14471.15	14788.25	14350.1	14744	919178208	49011.27
22-03-2021	14736.3	14763.9	14597.85	14736.4	458997059	27345.02
23-03-2021	14768.55	14878.6	14707	14814.75	474150088	30322.09
24-03-2021	14712.45	14752.35	14535	14549.4	456403503	27868.93
25-03-2021	14570.9	14575.6	14264.4	14324.9	606820996	35350.22
26-03-2021	14506.3	14572.9	14414.25	14507.3	481000845	29423.45
30-03-2021	14628.5	14876.3	14617.6	14845.1	594520567	35117.93
31-03-2021	14811.85	14813.75	14670.25	14690.7	436874691	29741.83
01-04-2021	14798.4	14883.2	14692.45	14867.35	430028476	29585.23
05-04-2021	14837.7	14849.85	14459.5	14637.8	500476690	33885.39
06-04-2021	14737	14779.1	14573.9	14683.5	474211156	31885.97
07-04-2021	14716.45	14879.8	14649.85	14819.05	476382016	35184.96
08-04-2021	14875.65	14984.15	14821.1	14873.8	503728173	34444.56
09-04-2021	14882.65	14918.45	14785.65	14834.85	498347599	35010.36
12-04-2021	14644.65	14652.5	14248.7	14310.8	638475842	43433.24
13-04-2021	14364.9	14528.9	14274.9	14504.8	588666016	40846.57
15-04-2021	14522.4	14597.55	14353.2	14581.45	556851211	40177.25
16-04-2021	14599.6	14697.7	14559	14617.85	568568743	36653.65
19-04-2021	14306.6	14382.3	14191.4	14359.45	503142904	34751.95
20-04-2021	14526.7	14526.95	14207.3	14296.4	456704716	34687.11
22-04-2021	14219.15	14424.75	14151.4	14406.15	516985252	37235.71
23-04-2021	14326.35	14461.15	14273.3	14341.35	476613608	31894.66
26-04-2021	14449.45	14557.5	14421.3	14485	448533329	33156.16
27-04-2021	14493.8	14667.55	14484.85	14653.05	442211685	32181.14
28-04-2021	14710.5	14890.25	14694.95	14864.55	453990807	37650.11
29-04-2021	14979	15044.35	14814.45	14894.9	511466673	41597.37
30-04-2021	14747.35	14855.45	14601.7	14631.1	594744498	40335.86
03-05-2021	14481.05	14673.85	14416.25	14634.15	443410846	32538.97
04-05-2021	14687.25	14723.4	14461.5	14496.5	479657079	34024.77
05-05-2021	14604.15	14637.9	14506.6	14617.85	437261063	28942.47
06-05-2021	14668.35	14743.9	14611.5	14724.8	445281496	31015.95
07-05-2021	14816.85	14863.05	14765.5	14823.15	483677266	33583.37
10-05-2021	14928.25	14966.9	14892.5	14942.35	510598577	31620.64
11-05-2021	14789.7	14900	14771.4	14850.75	616204478	32955.82
12-05-2021	14823.55	14824.05	14649.7	14696.5	620318215	32035.23
14-05-2021	14749.4	14749.65	14591.9	14677.8	602738614	39176.28
17-05-2021	14756.25	14938	14725.35	14923.15	534516176	35571.28
18-05-2021	15067.2	15137.25	15043.7	15108.1	571923125	35634.73
19-05-2021	15058.6	15133.4	15008.85	15030.15	563293717	31100.21
20-05-2021	15042.6	15069.8	14884.9	14906.05	467455658	28002.53
21-05-2021	14987.8	15190	14985.85	15175.3	557730470	31921.76
24-05-2021	15211.35	15256.25	15145.45	15197.7	566722866	32061.04
25-05-2021	15291.75	15293.85	15163.4	15208.45	417323446	26871.99
26-05-2021	15257.05	15319.9	15194.95	15301.45	377682051	26187.83
27-05-2021	15323.95	15384.55	15272.5	15337.85	682374351	48219.93
28-05-2021	15421.2	15469.65	15394.75	15435.65	455582440	32992.08
31-05-2021	15437.75	15606.35	15374	15582.8	435999456	32739.29
01-06-2021	15629.65	15660.75	15528.3	15574.85	409562322	27964.09
02-06-2021	15520.35	15597.45	15459.85	15576.2	428641666	28781.87
03-06-2021	15655.55	15705.1	15611	15690.35	410240584	27519.48
04-06-2021	15712.5	15733.6	15622.35	15670.25	414162241	25363.03
07-06-2021	15725.1	15773.45	15678.1	15751.65	393970049	25411.48
08-06-2021	15773.9	15778.8	15680	15740.1	378164658	24172.13
09-06-2021	15766.3	15800.45	15566.9	15635.35	457855735	26926.49
10-06-2021	15692.1	15751.25	15648.5	15737.75	298297041	23032.9
11-06-2021	15796.45	15835.55	15749.8	15799.35	363011297	24591.69
14-06-2021	15791.4	15823.05	15606.5	15811.85	392862037	28001.5
15-06-2021	15866.95	15901.6	15842.4	15869.25	323262818	22181.26
16-06-2021	15847.5	15880.85	15742.6	15767.55	340191175	22505.95
17-06-2021	15648.3	15769.35	15616.75	15691.4	357649243	26048.47
18-06-2021	15756.5	15761.5	15450.9	15683.35	640821642	42024.55
21-06-2021	15525.85	15765.15	15505.65	15746.5	351530072	22525.89
22-06-2021	15840.5	15895.75	15752.1	15772.75	322237561	24440.47
23-06-2021	15862.8	15862.95	15673.95	15686.95	287536735	23222.94
24-06-2021	15737.3	15821.4	15702.7	15790.45	316662241	29623.58
25-06-2021	15839.35	15870.8	15772.3	15860.35	314614380	26933.22
28-06-2021	15915.35	15915.65	15792.15	15814.7	255099272	18713.41
29-06-2021	15807.5	15835.9	15724.05	15748.45	360334724	24392.13
30-06-2021	15776.9	15839.1	15708.75	15721.5	262386323	20379.76
01-07-2021	15755.05	15755.55	15667.05	15680	224921644	17359.97
02-07-2021	15705.85	15738.35	15635.95	15722.2	254808999	18015.42
05-07-2021	15793.4	15845.95	15762.05	15834.35	207032153	14976.54
06-07-2021	15813.75	15914.2	15801	15818.25	391410742	24456.05
07-07-2021	15819.6	15893.55	15779.7	15879.65	329308646	22259.96
08-07-2021	15855.4	15885.75	15682.9	15727.9	307928495	19597.95
09-07-2021	15688.25	15730.85	15632.75	15689.8	243249366	19976.86
12-07-2021	15766.8	15789.2	15644.75	15692.6	216272488	18482.89
13-07-2021	15794	15820.8	15744.6	15812.35	246676549	18205.97
14-07-2021	15808.7	15877.35	15764.2	15853.95	239924352	18372.84
15-07-2021	15872.15	15952.35	15855	15924.2	284851049	20961.37
16-07-2021	15958.35	15962.25	15882.6	15923.4	276298105	18758.13
19-07-2021	15754.5	15836.9	15707.5	15752.4	242131813	18088.78
20-07-2021	15703.95	15728.45	15578.55	15632.1	274284165	21329.55
22-07-2021	15736.6	15834.8	15726.4	15824.05	265250867	23988.39
23-07-2021	15856.8	15899.8	15768.4	15856.05	294098244	20685.82
26-07-2021	15849.3	15893.35	15797	15824.45	267076679	19487.18
27-07-2021	15860.5	15881.55	15701	15746.45	311012065	26117.34
28-07-2021	15761.55	15767.5	15513.45	15709.4	318601589	26090.48
29-07-2021	15762.7	15817.35	15737.8	15778.45	401584915	29460.54
30-07-2021	15800.6	15862.8	15744.85	15763.05	400021237	30539.63
02-08-2021	15874.9	15892.9	15834.65	15885.15	244847433	20766.99
03-08-2021	15951.55	16146.9	15914.35	16130.75	341289658	26373.24
04-08-2021	16195.25	16290.2	16176.15	16258.8	427337644	32434.78
05-08-2021	16288.95	16349.45	16210.3	16294.6	418174517	31386.78
06-08-2021	16304.4	16336.75	16223.3	16238.2	320087281	24716.17
09-08-2021	16281.35	16320.75	16179.05	16258.25	240452917	18302.03
10-08-2021	16274.8	16359.25	16202.25	16280.1	287989486	22600.38
11-08-2021	16327.3	16338.75	16162.55	16282.25	277895886	20306.59
12-08-2021	16303.65	16375.5	16286.9	16364.4	280181324	18548.87
13-08-2021	16385.7	16543.6	16376.3	16529.1	321866286	27163.08
16-08-2021	16518.4	16589.4	16480.75	16563.05	254049330	21456.2
17-08-2021	16545.25	16628.55	16495.4	16614.6	297388470	25696.44
18-08-2021	16691.95	16701.85	16535.85	16568.85	251796822	22721.54
20-08-2021	16382.5	16509.55	16376.05	16450.5	350819323	30118.23
23-08-2021	16592.25	16592.5	16395.7	16496.45	275597782	24355.77
24-08-2021	16561.4	16647.1	16495.3	16624.6	275362819	24992.32
25-08-2021	16654	16712.45	16617.5	16634.65	265920141	22210.6
26-08-2021	16627.95	16683.7	16603.4	16636.9	253530997	22320.21
27-08-2021	16642.55	16722.05	16565.6	16705.2	217405743	20499.85
30-08-2021	16775.85	16951.5	16764.85	16931.05	283483108	23615.87
31-08-2021	16947.5	17153.5	16915.85	17132.2	464390247	40147.89
01-09-2021	17185.6	17225.75	17055.05	17076.25	301894634	27691.93
02-09-2021	17095.4	17245.5	17059.7	17234.15	242377518	22620.36
03-09-2021	17262.45	17340.1	17212.2	17323.6	261373795	23579.17
06-09-2021	17399.35	17429.55	17345.55	17377.8	228045532	21270.62
07-09-2021	17401.55	17436.5	17287	17362.1	243417811	19848.94
08-09-2021	17375.75	17383.4	17254.2	17353.5	252652423	22696.35
09-09-2021	17312.85	17379.65	17302.7	17369.25	241509352	17719.78
13-09-2021	17363.55	17378.35	17269.15	17355.3	241053924	18498.63
14-09-2021	17420.35	17438.55	17367.05	17380	230354386	18702.82
15-09-2021	17387.65	17532.7	17386.9	17519.45	388191629	24256.8
16-09-2021	17539.2	17644.6	17510.45	17629.5	503310763	30189.77
17-09-2021	17709.65	17792.95	17537.65	17585.15	508285916	43345.58
20-09-2021	17443.85	17622.75	17361.8	17396.9	339102046	25304.27
21-09-2021	17450.5	17578.35	17326.1	17562	363578479	26520.99
22-09-2021	17580.9	17610.45	17524	17546.65	295191136	21772.23
23-09-2021	17670.85	17843.9	17646.55	17822.95	320514486	25005.36
24-09-2021	17897.45	17947.65	17819.4	17853.2	360130853	30787.59
27-09-2021	17932.2	17943.5	17802.9	17855.1	295714657	24244.98
28-09-2021	17906.45	17912.85	17576.1	17748.6	397997281	27055.36
29-09-2021	17657.95	17781.75	17608.15	17711.3	562237732	30621.28
30-09-2021	17718.9	17742.15	17585.35	17618.15	378592721	27167.19
01-10-2021	17531.9	17557.15	17452.9	17532.05	305763919	20911.61
04-10-2021	17615.55	17750.9	17581.35	17691.25	295761839	21343.51
05-10-2021	17661.35	17833.45	17640.9	17822.3	427000191	23066.8
06-10-2021	17861.5	17884.6	17613.15	17646	395833550	24504.3
07-10-2021	17810.55	17857.55	17763.8	17790.35	419890959	27371.98
08-10-2021	17886.85	17941.85	17840.35	17895.2	324066351	22778.68
11-10-2021	17867.55	18041.95	17839.1	17945.95	375756457	29000.2
12-10-2021	17915.8	18008.65	17864.95	17991.95	355568313	26491.42
13-10-2021	18097.85	18197.8	18050.75	18161.75	506679748	34503
14-10-2021	18272.85	18350.75	18248.7	18338.55	538714440	38903.16
18-10-2021	18500.1	18543.15	18445.3	18477.05	469883515	36800.84
19-10-2021	18602.35	18604.45	18377.7	18418.75	368230309	30505.86
20-10-2021	18439.9	18458.3	18209.35	18266.6	371276478	28968.42
21-10-2021	18382.7	18384.2	18048	18178.1	365902008	30839.79
22-10-2021	18230.7	18314.25	18034.35	18114.9	324748084	26938.88
25-10-2021	18229.5	18241.4	17968.5	18125.4	418703647	34572.34
26-10-2021	18154.5	18310.45	18099.3	18268.4	341377869	29764.61
27-10-2021	18295.85	18342.05	18167.9	18210.95	335248487	30823.75
28-10-2021	18187.65	18190.7	17799.45	17857.25	374205784	30222.34
29-10-2021	17833.05	17915.85	17613.1	17671.65	336466864	28136
01-11-2021	17783.15	17954.1	17697.1	17929.65	281190130	24354.38
02-11-2021	17970.9	18012.25	17847.6	17888.95	296441997	23371.51
03-11-2021	17947.95	17988.75	17757.95	17829.2	330995982	26186.85
04-11-2021	17935.05	17947.55	17900.6	17916.8	48520856	3637.06
08-11-2021	18040.2	18087.8	17836.1	18068.55	338919483	30908.23
09-11-2021	18084.35	18112.6	17983.05	18044.25	270197527	23686.09
10-11-2021	17973.45	18061.25	17915	18017.2	261446523	22281.11
11-11-2021	17967.45	17971.35	17798.2	17873.6	232121151	20074.78
12-11-2021	17977.6	18123	17905.9	18102.75	249111898	22164.33
15-11-2021	18140.95	18210.15	18071.3	18109.45	280428633	19099.6
16-11-2021	18127.05	18132.65	17958.8	17999.2	267431829	24101.67
17-11-2021	17939.35	18022.65	17879.25	17898.65	295715938	22950.84
18-11-2021	17890.55	17945.6	17688.5	17764.8	278425148	22625.36
22-11-2021	17796.25	17805.25	17280.45	17416.55	356400425	29570.57
23-11-2021	17281.75	17553.7	17216.1	17503.35	308843255	26240.41
24-11-2021	17550.05	17600.6	17354	17415.05	298052158	23766.93
25-11-2021	17417.3	17564.35	17351.7	17536.25	255947032	21953.33
26-11-2021	17338.75	17355.4	16985.7	17026.45	356330009	28485.53
29-11-2021	17055.8	17160.7	16782.4	17053.95	348888750	27428.2
30-11-2021	17051.15	17324.65	16931.4	16983.2	497999836	41494.9
01-12-2021	17104.4	17213.05	17064.25	17166.9	295542125	24098.73
02-12-2021	17183.2	17420.35	17149.3	17401.65	279867500	22473.64
03-12-2021	17424.9	17489.8	17180.8	17196.7	292526485	23100.57
06-12-2021	17209.05	17216.75	16891.7	16912.25	231716681	17912.15
07-12-2021	17044.1	17251.65	16987.75	17176.7	254144221	21693.69
08-12-2021	17315.25	17484.6	17308.95	17469.75	257791948	21665.95
09-12-2021	17524.4	17543.25	17379.6	17516.85	237170272	18984.75
10-12-2021	17476.05	17534.35	17405.25	17511.3	204467484	16399.53
13-12-2021	17619.1	17639.5	17355.95	17368.25	256560534	20592.03
14-12-2021	17283.2	17376.2	17225.8	17324.9	270965586	20459.79
15-12-2021	17323.65	17351.2	17192.2	17221.4	214972109	17046.42
16-12-2021	17373	17379.35	17184.95	17248.4	219496063	18493.54
17-12-2021	17276	17298.15	16966.45	16985.2	354591366	31326.91
20-12-2021	16824.25	16840.1	16410.2	16614.2	330614079	25123.59
21-12-2021	16773.15	16936.4	16688.25	16770.85	241030834	19783.04
22-12-2021	16865.55	16971	16819.5	16955.45	207946105	17443.94
23-12-2021	17066.8	17118.65	17015.55	17072.6	196965302	15755.89
24-12-2021	17149.5	17155.6	16909.6	17003.75	182564833	15435.01
27-12-2021	16937.75	17112.05	16833.2	17086.25	144777457	12567.03
28-12-2021	17177.6	17250.25	17161.15	17233.25	176026100	14553.76
29-12-2021	17220.1	17285.95	17176.65	17213.6	161679423	14320.79
30-12-2021	17201.45	17264.05	17146.35	17203.95	320831676	21929.19
31-12-2021	17244.5	17400.8	17238.5	17354.05	167025720	14588.54
03-01-2022	17387.15	17646.65	17383.3	17625.7	200456430	16181.36
04-01-2022	17681.4	17827.6	17593.55	17805.25	247437472	18604.16
05-01-2022	17820.1	17944.7	17748.85	17925.25	251460038	23737.31
06-01-2022	17768.5	17797.95	17655.55	17745.9	236454824	22643.82
07-01-2022	17797.6	17905	17704.55	17812.7	239338015	21447.89
10-01-2022	17913.3	18017.45	17879.15	18003.3	232418075	20853.64
11-01-2022	17997.75	18081.25	17964.4	18055.75	220238796	20781.46
12-01-2022	18170.4	18227.95	18128.8	18212.35	244974287	22298.69
13-01-2022	18257	18272.25	18163.8	18257.8	303700545	28670.93
14-01-2022	18185	18286.95	18119.65	18255.75	229451608	21024.51
17-01-2022	18235.65	18321.55	18228.75	18308.1	266702919	23859.38
18-01-2022	18337.2	18350.95	18085.9	18113.05	227507319	20852.67
19-01-2022	18129.2	18129.2	17884.9	17938.4	276662654	25310.19
20-01-2022	17921	17943.7	17648.45	17757	258094246	25863.29
21-01-2022	17613.7	17707.6	17485.85	17617.15	277645373	25941.64
24-01-2022	17575.15	17599.4	16997.85	17149.1	323847388	28387.73
25-01-2022	17001.55	17309.15	16836.8	17277.95	326515896	31344.46
27-01-2022	17062	17182.5	16866.75	17110.15	395596577	36296.64
28-01-2022	17208.3	17373.5	17077.1	17101.95	355284285	29799.89
31-01-2022	17301.05	17410	17264.15	17339.85	321660346	25474.13
01-02-2022	17529.45	17622.4	17244.55	17576.85	386391485	30033.66
02-02-2022	17706.2	17794.6	17674.8	17780	271205907	23611.59
03-02-2022	17767.75	17781.15	17511.15	17560.2	226614989	20373.06
04-02-2022	17590.2	17617.8	17462.55	17516.3	261434170	20651.85
07-02-2022	17456.3	17536.75	17119.4	17213.6	265037933	21925.11
08-02-2022	17279.85	17306.45	17043.65	17266.75	268526210	23846.16
09-02-2022	17370.1	17477.15	17339	17463.8	236350514	19327.67
10-02-2022	17554.1	17639.45	17427.15	17605.85	273606440	22210.93
11-02-2022	17451	17454.75	17303	17374.75	253141660	23230.82
14-02-2022	17076.15	17099.5	16809.65	16842.8	305510740	24976.16
15-02-2022	16933.25	17375	16839.25	17352.45	298658142	24765.67
16-02-2022	17408.45	17490.6	17257.7	17322.2	244549223	21128.38
17-02-2022	17396.55	17442.9	17235.85	17304.6	232136131	19381.26
18-02-2022	17236.05	17380.8	17219.2	17276.3	189620888	16126.96
21-02-2022	17192.25	17351.05	17070.7	17206.65	215183301	18725.57
22-02-2022	16847.95	17148.55	16843.8	17092.2	300131995	24040.84
23-02-2022	17194.5	17220.7	17027.85	17063.25	200229631	17662.47
24-02-2022	16548.9	16705.25	16203.25	16247.95	457967874	36650.83
25-02-2022	16515.65	16748.8	16478.3	16658.4	329780732	25743.77
28-02-2022	16481.6	16815.9	16356.3	16793.9	404214666	33831.57
02-03-2022	16593.1	16678.5	16478.65	16605.95	517723542	39407.44
03-03-2022	16723.2	16768.95	16442.95	16498.05	442068263	31413
04-03-2022	16339.45	16456	16133.8	16245.35	456143040	34821.1
07-03-2022	15867.95	15944.6	15711.45	15863.15	585403660	38038.75
08-03-2022	15747.75	16028.75	15671.45	16013.45	543600673	38704.4
09-03-2022	16078	16418.05	15990	16345.35	462231428	35329.34
10-03-2022	16757.1	16757.3	16447.9	16594.9	486445481	35513.73
